"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"4-9-87";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";27.5;21.7;6.1;173;0.173;0.0188727272727273;NA;"rd";"4-9-87";"4-9-87";"P87";"4-9-87";"P87";1.1354;1.1401;4.69999999999993;226740;254698;231048;237495.333333333;50530.9219858164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-88";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Characidium bimaculatum";34;23.6;6.3;290;0.29;0.0255882352941176;NA;"rd";"4-9-88";"4-9-88";"P88";"4-9-88";"P88";1.1025;1.1079;5.40000000000007;306339;368485;368485;347769.666666667;64401.7901234559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-89";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";29.7;23;6.9;224;0.224;0.0226262626262626;NA;"rd";"4-9-89";"4-9-89";"P89";"4-9-89";"P89";0.9313;0.9367;5.39999999999996;314217;328222;306339;316259.333333333;58566.543209877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-90";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.7;21.2;6.2;171;0.171;0.0185198555956679;NA;"rd";"4-9-90";"4-9-90";"P90";"4-9-90";"P90";0.9305;0.9378;7.29999999999997;470057;512114;464840;482337;66073.5616438359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-91";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";33.3;26.1;8.7;328;0.328;0.0295495495495496;NA;"rd";"4-9-91";"4-9-91";"P91";"4-9-91";"P91";0.9154;0.9248;9.39999999999996;583028;565518;620674;589740;62738.2978723407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:1";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";34.5;26.2;7.2;378;0.378;0.0328695652173913;NA;"xx";"4-9-XcRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:2";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";33.2;25.1;7.5;293;0.293;0.0264759036144578;NA;"xx";"4-9-XcRB:2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:3";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.1;32;6.2;180;0.18;0.0199261992619926;NA;"xx";"4-9-XcRB:3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:4";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";41.9;33.1;9.9;688;0.688;0.0492601431980907;NA;"xx";"4-9-XcRB:4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:5";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";38.8;30;9;303;0.303;0.0234278350515464;NA;"xx";"4-9-XcRB:5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:6";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.2;20.9;6.6;153;0.153;0.016875;NA;"xx";"4-9-XcRB:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:7";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";27.8;24.2;7.5;272;0.272;0.0293525179856115;NA;"xx";"4-9-XcRB:7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:8";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";28;21.6;6.8;178;0.178;0.0190714285714286;NA;"xx";"4-9-XcRB:8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:9";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";29.1;25.6;8.6;358;0.358;0.0369072164948454;NA;"xx";"4-9-XcRB:9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:10";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";36.1;27.2;8.8;424;0.424;0.0352354570637119;NA;"xx";"4-9-XcRB:10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XcRB:11";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";35.3;27;7.9;313;0.313;0.026600566572238;NA;"xx";"4-9-XcRB:11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:1";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";24.4;20.4;6.3;156;0.156;0.0191803278688525;NA;"xx";"4-9-XsRB:1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:2";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";31.7;25.1;5.9;136;0.136;0.0128706624605678;NA;"xx";"4-9-XsRB:2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:3";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";29.1;25;6.3;348;0.348;0.0358762886597938;NA;"xx";"4-9-XsRB:3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:4";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";30.7;23.4;7.7;392;0.392;0.0383061889250814;NA;"xx";"4-9-XsRB:4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:5";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";26.2;22.7;5.2;160;0.16;0.0183206106870229;NA;"xx";"4-9-XsRB:5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:6";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";34.4;27.4;6.7;317;0.317;0.0276453488372093;NA;"xx";"4-9-XsRB:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:7";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";28.1;20.9;6.5;174;0.174;0.018576512455516;NA;"xx";"4-9-XsRB:7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:8";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";36.7;28.2;7.8;196;0.196;0.0160217983651226;NA;"xx";"4-9-XsRB:8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:9";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";22.9;17.7;4.9;96;0.096;0.0125764192139738;NA;"xx";"4-9-XsRB:9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:10";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus rodwayi";30.9;26.3;7.6;195;0.195;0.0189320388349515;NA;"xx";"4-9-XsRB:10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:11";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";27.3;22.1;5.3;165;0.165;0.0181318681318681;NA;"xx";"4-9-XsRB:11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:12";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";27.1;21;4.9;132;0.132;0.0146125461254613;NA;"xx";"4-9-XsRB:12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:13";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";26.8;23.4;5.7;178;0.178;0.0199253731343284;NA;"xx";"4-9-XsRB:13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:14";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";25.8;20.3;5.9;150;0.15;0.0174418604651163;NA;"xx";"4-9-XsRB:14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:15";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";29;21.7;6.4;193;0.193;0.0199655172413793;NA;"xx";"4-9-XsRB:15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:16";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";26.1;19.5;5.9;149;0.149;0.0171264367816092;NA;"xx";"4-9-XsRB:16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:17";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";29.5;23.4;4.7;162;0.162;0.0164745762711864;NA;"xx";"4-9-XsRB:17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:18";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";25.4;18.9;5.5;141;0.141;0.0166535433070866;NA;"xx";"4-9-XsRB:18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:19";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";30.4;23.7;6.2;220;0.22;0.0217105263157895;NA;"xx";"4-9-XsRB:19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:20";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";22.8;18.2;3.8;78;0.078;0.0102631578947368;NA;"xx";"4-9-XsRB:20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:21";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";27.5;21.4;4.8;135;0.135;0.0147272727272727;NA;"xx";"4-9-XsRB:21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:22";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";30.7;24.7;5.1;160;0.16;0.0156351791530945;NA;"xx";"4-9-XsRB:22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:23";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";29.1;23.1;6;226;0.226;0.0232989690721649;NA;"xx";"4-9-XsRB:23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:24";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";31.1;23.6;7.8;288;0.288;0.0277813504823151;NA;"xx";"4-9-XsRB:24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:25";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.3;21.9;7.1;196;0.196;0.0215384615384615;NA;"xx";"4-9-XsRB:25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:26";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";27.8;21.4;5.2;147;0.147;0.015863309352518;NA;"xx";"4-9-XsRB:26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:27";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";28.1;21.1;6.4;163;0.163;0.0174021352313167;NA;"xx";"4-9-XsRB:27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:28";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";21.5;20;5.8;144;0.144;0.020093023255814;NA;"xx";"4-9-XsRB:28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:29";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";27.9;21.1;7.1;192;0.192;0.0206451612903226;NA;"xx";"4-9-XsRB:29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:30";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";23.3;20.1;6;141;0.141;0.0181545064377682;NA;"xx";"4-9-XsRB:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:31";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";35.7;29.1;8;386;0.386;0.032436974789916;NA;"xx";"4-9-XsRB:31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:32";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";32.7;25.3;8.8;345;0.345;0.031651376146789;NA;"xx";"4-9-XsRB:32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:33";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";24.6;20.8;5.5;137;0.137;0.0167073170731707;NA;"xx";"4-9-XsRB:33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:34";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";32.5;24.1;6.8;285;0.285;0.0263076923076923;NA;"xx";"4-9-XsRB:34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:35";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";25.9;20.4;6.2;157;0.157;0.0181853281853282;NA;"xx";"4-9-XsRB:35";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:36";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";31;24.4;6.4;214;0.214;0.0207096774193548;NA;"xx";"4-9-XsRB:36";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:37";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Astyanax fasciatus";26.4;23.8;6.3;206;0.206;0.0234090909090909;NA;"xx";"4-9-XsRB:37";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:38";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";29;25;7.7;277;0.277;0.0286551724137931;NA;"xx";"4-9-XsRB:38";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:39";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";32.1;25.4;6.4;265;0.265;0.0247663551401869;NA;"xx";"4-9-XsRB:39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:40";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus unilineatus";23.3;18.2;5.6;120;0.12;0.015450643776824;NA;"xx";"4-9-XsRB:40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:41";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";31.1;24.5;5.4;207;0.207;0.019967845659164;NA;"xx";"4-9-XsRB:41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:42";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";30.2;25.2;6.9;280;0.28;0.0278145695364238;NA;"xx";"4-9-XsRB:42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:43";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";23.1;25;6.9;269;0.269;0.0349350649350649;NA;"xx";"4-9-XsRB:43";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4-9-XsRB:44";"B-P09";"Barro Branco";"BarroBranco2";"Ponto9";"Barro Branco";"Barro Branco Médio";"Rio";45245;"30/08/2023";1;9;3;"Hemigrammus marginatus";27;21.3;5.1;145;0.145;0.0161111111111111;NA;"xx";"4-9-XsRB:44";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
